core_count,workers,ort_threads,det_limit_side_len,concurrency,requests,success,errors,success_rate,elapsed_s,qps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
8,2,1,512,16,23,23,0,100.0,7.09,3.244,4196.446,4837.806,5499.338,5504.137,5529.764
8,2,1,416,16,24,24,0,100.0,7.024,3.417,4027.513,4416.968,5235.174,5261.625,5296.527
