core_count,workers,ort_threads,det_limit_side_len,concurrency,requests,success,errors,success_rate,elapsed_s,qps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
8,2,1,736,16,16,16,0,100.0,8.798,1.819,8244.598,8361.926,8711.46,8731.91,8768.188
8,2,1,640,16,16,16,0,100.0,6.615,2.419,6244.58,6206.299,6568.183,6576.707,6593.308
8,2,1,512,16,27,22,5,81.48,90.045,0.244,2891.999,2817.297,3354.379,3436.856,3451.451
8,2,1,416,16,30,30,0,100.0,8.31,3.61,4133.448,4045.273,4959.745,5116.107,5359.764
