core_count,workers,ort_threads,det_limit_side_len,det_model_type,concurrency,requests,success,errors,success_rate,elapsed_s,qps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
8,2,1,416,small,16,48,48,0,100.0,13.023,3.686,4081.781,4039.334,5210.82,5488.522,5619.659
8,2,1,416,tiny,16,76,76,0,100.0,11.54,6.586,2346.871,2311.726,2751.708,3142.038,3409.178
