core_count,workers,ort_threads,concurrency,requests,success,errors,success_rate,elapsed_s,qps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
8,1,,4,8,8,0,100.0,8.426,0.949,3857.085,3902.708,4615.404,4800.99,4949.458
8,1,,8,9,9,0,100.0,8.372,1.075,6338.344,6444.193,7753.118,7822.691,7878.35
8,1,,16,16,16,0,100.0,14.405,1.111,12000.068,12632.606,14204.06,14367.365,14393.441
8,2,,4,7,7,0,100.0,8.477,0.826,4127.149,3893.498,4951.553,5189.769,5380.342
8,2,,8,8,8,0,100.0,7.918,1.01,6822.003,7167.463,7640.046,7775.503,7883.869
8,2,,16,16,16,0,100.0,13.854,1.155,12119.222,12262.888,13615.468,13801.442,13835.388
8,4,,4,5,5,0,100.0,7.879,0.635,5063.212,5539.095,6024.351,6170.909,6288.156
8,4,,8,8,8,0,100.0,8.841,0.905,7425.159,7491.803,8754.742,8794.302,8825.951
8,4,,16,16,16,0,100.0,14.495,1.104,12763.75,12828.291,14293.89,14455.531,14484.697
